start: 15, 20
#00000000011111111112222222222333333333344444444445
#12345678901234567890123456789012345678901234567890
00000000000000000000000000000000000000000000000000 # 00
00000000000000000000000000000000000000000000000000 # 01
00000000000000000000000000000000000000000000000000 # 02
00000000000000000000000000000000032100000000000000 # 03
00000000000000000000000000000000001000000000000000 # 04
00000000000000000000000000000000033300000000000000 # 05
00000000000000000000000000000000303320000000000000 # 06
00000000000000000000000000000000021000000000000000 # 07
00000000000000000000000000000000000000000000000000 # 08
00000000000000000000000000000000000000000000000000 # 09
00000000000000000000000000000000000000000000000000 # 10
00000000000000000000000000000000000000000000000000 # 11
00000000000000000000000000000000000000000000000000 # 12
00000000000000000000000000000000000000000000000000 # 13
00000000000000000000000000000123000000000000000000 # 14
00000000000000000000000000000123000000000000000000 # 15
00000000000000030000000000000000000000000000000000 # 16
00000000000000333000000000000000000000000000000000 # 17
00000000000000030000000000000000000000000000000000 # 18
00000000000000000000000000000000000000000000000000 # 19
00000000000000000000000000001030000000000000000000 # 20
00000000000000000000000000020320000000000000000000 # 21
00000000123000000000000321033300000000000000000000 # 22
00000000123000000000000321030330000000000000000000 # 23
00000000000000000000000000002100000000000000000000 # 24
00000000000000000000000000000000000000000000000000 # 25
00000000000000000000000000000000000000000000000000 # 26
00000000000000000000000000000000000000000000000000 # 27
00000000000000000000000000000000000000000000000000 # 28
00000000000000000000000000000000000000000000000000 # 29
