start: 28, 55
5050505050505050505050505050505050505050555 # 19
5555555555555555555555555555555555555555555 # 19
5050505050505050505050505050505050505050555 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000030300000000000000000000000000055 # 19
5666000000333023000000000000000000000000055 # 19
5666000003303312300000000000000000000000055 # 19
5666000000330012300000000000000000000000055 # 19
5666000000023000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000010000023055 # 19
5666000000000000000000000000000023333330055 # 19
5666000000000000000000000000000030300301055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5666000000000000000000000000000000000000055 # 19
5050505050505050505050505050000000000000055 # 19
5555555555555555555555555555000000000000055 # 19
5050505050505050505050505050000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000032100000000000055 # 19
5000000000000000000000000003000000000000055 # 19
5000000000000000000000000033300000000000055 # 19
5000000000000000000000000303320000000000055 # 19
5000000000000000000000000021000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000300000000000055 # 19
5000000000000000000000000003330000000000055 # 19
5000000000000000000000000000300000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000032100000000000055 # 19
5000000000000000000000000003000000000000055 # 19
5000000000000000000000000033300000000000055 # 19
5000000000000000000000000303320000000000055 # 19
5000000000000000000000000021000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000005050505050505050505050505050555 # 19
5000000000055555555555555555555555555555555 # 19
5000000000005050505050505050505050505050555 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000030300000000000000000000000000000055 # 19
5000000333023000000000000000000003000000055 # 19
5000003303312300000000000000000033300000055 # 19
5000000330012300000000000000000003000000055 # 19
5000000023000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5000000000000000000000000000000000000000055 # 19
5555555555555555555555555555555555555555555 # 19
